ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1821	15	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
1822	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
1823	1	1	2	0.000000	452.000000	1.000000	0.000000	0.000000	0	227	0
1824	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
1825	4	2	2	0.000000	1112.500000	3.500000	0.000000	0.000000	0	93	0
1826	3	3	2	0.000000	388.666667	12.666667	0.000000	0.000000	0	196	0
1827	15	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
1828	11	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
1829	3	1	3	0.000000	513.666667	110.666667	0.000000	0.000000	0	261	0
1830	5	1	2	0.000000	619.800000	3.000000	0.000000	0.000000	0	324	0
1831	2	2	2	0.000000	669.000000	4.000000	0.000000	0.000000	0	331	0
1832	4	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
1833	11	1	1	0.000000	92.272727	85.545455	0.000000	0.000000	0	52	0
1834	1	2	2	0.000000	86.000000	80.000000	0.000000	0.000000	0	43	0
1835	1	4	2	0.000000	1492.000000	8.000000	0.000000	0.000000	0	16	0
1836	18	1	1	0.000000	12.555556	11.333333	0.000000	0.000000	0	8	0
1837	1	5	3	0.000000	3971.000000	7.000000	0.000000	0.000000	0	67	0
1838	18	1	1	0.000000	28.833333	28.833333	0.000000	0.000000	0	26	0
1839	1	1	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	16	0
1840	26	1	2	0.000000	24.461538	24.461538	0.000000	0.000000	0	21	0
1841	13	2	1	0.000000	8.769231	8.769231	0.000000	0.000000	0	8	0
1842	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
1843	12	1	1	0.000000	3.083333	3.083333	0.000000	0.000000	0	4	0
1844	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
1845	7	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
1846	3	2	1	0.000000	102.666667	98.333333	0.000000	0.000000	0	52	0
