ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
6067	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6068	1	1	3	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6069	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6070	2	1	4	0.000000	3.500000	3.500000	0.000000	0.000000	0	4	0
6071	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6072	14	1	2	0.000000	1.357143	1.357143	0.000000	0.000000	0	2	0
6073	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6074	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6075	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6076	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6077	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6078	1	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6079	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6080	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6081	1	1	2	0.000000	1985.000000	1296.000000	0.000000	0.000000	0	840	0
6082	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6083	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6084	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6085	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6086	3	2	4	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6087	1	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6088	12	1	2	0.000000	1.166667	1.166667	0.000000	0.000000	0	1	0
6089	39	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6090	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6091	34	1	1	0.000000	1.205882	1.205882	0.000000	0.000000	0	2	0
6092	103	1	0	0.000000	1.019417	1.019417	0.000000	0.000000	0	2	0
6093	1	2	4	0.000000	9.000000	9.000000	0.000000	0.000000	0	9	0
6094	1	1	3	0.000000	11.000000	2.000000	0.000000	0.000000	0	11	0
6095	42	1	0	0.000000	1.047619	1.047619	0.000000	0.000000	0	2	0
6096	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6097	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6098	6	1	2	0.000000	9.333333	3.000000	0.000000	0.000000	0	3	0
6099	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6100	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6101	1	2	2	0.000000	2474.000000	2.000000	0.000000	0.000000	0	32	0
6102	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6103	50	0	2	0.000000	1.020000	1.020000	0.000000	0.000000	0	2	0
6104	61	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6105	5	2	2	0.000000	2.200000	2.200000	0.000000	0.000000	0	3	0
6106	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6107	1	1	2	0.000000	3.000000	2.000000	0.000000	0.000000	0	2	0
6108	19	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6109	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	15	0
6110	13	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6111	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6112	2	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6113	21	1	1	0.000000	1.238095	1.238095	0.000000	0.000000	0	2	0
6114	60	1	2	0.000000	1.183333	1.183333	0.000000	0.000000	0	5	0
6115	39	1	1	0.000000	1.410256	1.410256	0.000000	0.000000	0	2	0
6116	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6117	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6118	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6119	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6120	3	1	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	6	0
6121	1	1	3	0.000000	1436.000000	2.000000	0.000000	0.000000	0	717	0
6122	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6123	41	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6124	15	1	1	0.000000	1.733333	1.733333	0.000000	0.000000	0	2	0
6125	45	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6126	2	1	3	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6127	51	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6128	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6129	17	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6130	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6131	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6132	4	1	2	0.000000	4.250000	4.250000	0.000000	0.000000	0	5	0
6133	21	1	1	0.000000	1.190476	1.190476	0.000000	0.000000	0	1	0
6134	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6135	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6136	19	1	2	0.000000	1.105263	1.105263	0.000000	0.000000	0	2	0
6137	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6138	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6139	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6140	18	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6141	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6142	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6143	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6144	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6145	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6146	5	2	2	0.000000	410.400000	2.400000	0.000000	0.000000	0	220	0
6147	24	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
